fecha,demanda_gwh,precio_bolsa_cop_kwh,volumen_util_embalses_kwh,tipo_dia,ipc_var_anual_energia
2024-01-01,7.344694315833333,219.50949418673335,12161276400.0,Festivo,9.64
2024-01-02,8.612079434166663,398.2097396252,12100516400.0,Día normal,9.64
2024-01-03,8.952288429583335,459.9272147622998,12036493600.0,Día normal,9.64
2024-01-04,9.141994268749999,551.378045869833,11965384500.0,Día normal,9.64
2024-01-05,9.220106922500001,625.1486516063668,11885861900.0,Día normal,9.64
2024-01-06,8.843126470416667,627.5337874989998,11826911700.0,Fin de semana,9.64
2024-01-07,8.200566090833332,636.4361761939666,11770679100.0,Fin de semana,9.64
2024-01-08,8.355948302916667,636.6942828334996,11707966600.0,Festivo,9.64
2024-01-09,9.318802031249998,693.1357374615665,11629150900.0,Día normal,9.64
2024-01-10,9.625910266250001,664.4166666666666,11556859700.0,Día normal,9.64
2024-01-11,9.676068414166664,687.8977272800665,11469236200.0,Día normal,9.64
2024-01-12,9.872949164583332,666.2976382490333,11397426000.0,Día normal,9.64
2024-01-13,9.468673166666665,649.979991859767,11347837100.0,Fin de semana,9.64
2024-01-14,8.804417946666668,614.5591177958001,11315290800.0,Fin de semana,9.64
2024-01-15,9.799520503333332,616.0630441362331,11244267700.0,Día normal,9.64
2024-01-16,9.927048393749999,610.1589222795666,11162669900.0,Día normal,9.64
2024-01-17,9.806516329583333,589.4446908046999,11064141400.0,Día normal,9.64
2024-01-18,9.813347545,554.1208964131,10957117100.0,Día normal,9.64
2024-01-19,9.841835849583333,542.3722367708668,10847538900.0,Día normal,9.64
2024-01-20,9.399574755416667,526.9999086477668,10763902800.0,Fin de semana,9.64
2024-01-21,8.543180943749999,503.93887635173337,10692521900.0,Fin de semana,9.64
2024-01-22,9.606521363333334,503.5002988510666,10609356600.0,Día normal,9.64
2024-01-23,9.771624298333334,495.9873247034666,10519937500.0,Día normal,9.64
2024-01-24,9.784306981249998,491.05302440586667,10428227900.0,Día normal,9.64
2024-01-25,9.773621158333333,481.70497206789986,10337288500.0,Día normal,9.64
2024-01-26,9.80344540375,445.8845233513668,10230898400.0,Día normal,9.64
2024-01-27,9.399640990416666,468.73659898626653,10127616300.0,Fin de semana,9.64
2024-01-28,8.522107834583332,530.2159085613665,10034263900.0,Fin de semana,9.64
2024-01-29,9.835594793333334,599.2748051703998,9911849900.0,Día normal,9.64
2024-01-30,10.04799010041667,630.3237816286668,9796904900.0,Día normal,9.64
2024-01-31,9.942319054583333,638.5804818730331,9684670400.0,Día normal,9.64
2024-02-01,9.863413538750002,693.1838270487332,9603887100.0,Día normal,9.77
2024-02-02,9.53292495,690.6968547193669,9547047100.0,Día normal,9.77
2024-02-03,9.030947044583334,669.1527883965332,9538748200.0,Fin de semana,9.77
